part_id,part_name,category,material,material_grade,thickness_mm,length_mm,width_mm,weight_kg,bend_count,hole_count,surface_finish,finish_cost_per_part,material_rate_per_kg,cycle_time_min,energy_kwh_per_part,energy_rate_per_kwh,labour_hours,labour_rate_per_hour,overhead_pct,supplier_margin_pct,current_supplier,supplier_region,erp_price,annual_volume,engineering_status,prediction_status,drawing_source_file,drawing_extraction_confidence,engineering_data_source,drawing_stored_path,drawing_sha256,drawing_committed_at_utc
SM-1001,Mounting bracket 001,Bracket,Mild Steel,IS 2062 E250,4.0,401.0,330.0,3.42,2.0,16.0,Painted,30.44,80.09,23.4,1.2,8.5,0.35,390,22,13,SteelWorks,India,619.72,1469,Committed,Ready,SM-1001.pdf,High,Uploaded drawing,data/drawings/committed/SM-1001/SM-1001_20260801T104126481017Z.pdf,bfcf5887c8d0350b432b221a3510e261d1ab4f73eb8df61a709b3b9f887125b1,2026-08-01T10:41:26.481017+00:00
SM-1002,Welded support 002,Fabricated assembly,Stainless Steel,SS304,2.0,785.0,785.0,10.32,9.0,10.0,Painted,91.9,152.05,48.4,2.98,8.5,0.76,390,24,10,PlatePro,India,2622.39,7655,Committed,Ready,SM-1002.pdf,High,Uploaded drawing,data/drawings/committed/SM-1002/SM-1002_20260801T104220186350Z.pdf,797b1c08af0a4903a81887e49bd12e337b8eb66ef2bf0d01184963ffd6a01caa,2026-08-01T10:42:20.186350+00:00
SM-1003,Control plate 003,Mounting plate,CRCA Steel,CRCA IS 513,1.2,509.0,179.0,0.75,5.0,21.0,Zinc plated,20.96,90.72,24.0,0.65,8.5,0.45,390,27,9,SteelWorks,India,513.42,10206,Baseline ready,Ready,,,,,,
SM-1004,Welded support 004,Fabricated assembly,Stainless Steel,SS304,2.0,711.0,276.0,3.03,0.0,23.0,Powder coated,45.13,152.32,20.7,1.08,7.8,0.41,340,20,12,AsiaForm,Vietnam,959.33,9708,Baseline ready,Ready,,,,,,
SM-1005,Access cover 005,Cover / panel,Galvanized Steel,GI G90,5.0,493.0,246.0,4.15,3.0,23.0,Zinc plated,27.89,95.79,28.6,1.43,8.5,0.53,390,22,13,BendCraft,India,866.12,8621,Baseline ready,Ready,,,,,,
SM-1006,Mounting bracket 006,Bracket,Mild Steel,IS 2062 E350,2.5,396.0,304.0,2.31,0.0,9.0,Painted,27.69,86.48,14.2,0.83,7.5,0.24,460,35,11,DragonSheet,China,418.07,7567,Baseline ready,Ready,,,,,,
SM-1007,Access cover 007,Cover / panel,Galvanized Steel,GI G90,4.0,589.0,226.0,3.5,3.0,25.0,Zinc plated,30.62,96.33,27.9,1.29,7.5,0.48,460,24,10,DragonSheet,China,904.48,5132,Baseline ready,Ready,,,,,,
SM-1008,Welded support 008,Fabricated assembly,Stainless Steel,SS304,1.2,893.0,128.0,1.11,2.0,22.0,Powder coated,26.29,152.68,19.7,0.67,7.5,0.34,460,27,13,DragonSheet,China,519.35,15937,Baseline ready,Ready,,,,,,
SM-1009,Welded support 009,Fabricated assembly,Stainless Steel,SS304,3.0,131.0,197.0,0.59,8.0,26.0,Zinc plated,5.94,152.24,30.8,0.72,7.8,0.51,340,20,11,FabriMax,Vietnam,683.16,17003,Baseline ready,Ready,,,,,,
SM-1010,Mounting bracket 010,Bracket,Mild Steel,IS 2062 E350,1.2,760.0,385.0,2.83,8.0,21.0,Powder coated,67.3,79.53,34.0,1.23,10.0,0.64,1900,35,9,PrecisionPanel,USA,2023.62,11221,Baseline ready,Ready,,,,,,
