part_id,part_name,category,material,material_grade,thickness_mm,length_mm,width_mm,weight_kg,bend_count,hole_count,surface_finish,finish_cost_per_part,material_rate_per_kg,cycle_time_min,energy_kwh_per_part,energy_rate_per_kwh,labour_hours,labour_rate_per_hour,overhead_pct,supplier_margin_pct,current_supplier,supplier_region,erp_price,annual_volume
SM-1001,Mounting bracket 001,Bracket,Mild Steel,IS 2062 E250,4.0,401,330,3.42,1,23,Painted,30.44,80.09,23.4,1.2,8.5,0.35,390,22,13,SteelWorks,India,619.72,1469
SM-1002,Welded support 002,Fabricated assembly,Stainless Steel,SS304,4.0,785,509,10.32,9,10,Painted,91.9,152.05,48.4,2.98,8.5,0.76,390,24,10,PlatePro,India,2622.39,7655
SM-1003,Control plate 003,Mounting plate,CRCA Steel,CRCA IS 513,1.2,509,179,0.75,5,21,Zinc plated,20.96,90.72,24.0,0.65,8.5,0.45,390,27,9,SteelWorks,India,513.42,10206
SM-1004,Welded support 004,Fabricated assembly,Stainless Steel,SS304,2.0,711,276,3.03,0,23,Powder coated,45.13,152.32,20.7,1.08,7.8,0.41,340,20,12,AsiaForm,Vietnam,959.33,9708
SM-1005,Access cover 005,Cover / panel,Galvanized Steel,GI G90,5.0,493,246,4.15,3,23,Zinc plated,27.89,95.79,28.6,1.43,8.5,0.53,390,22,13,BendCraft,India,866.12,8621
SM-1006,Mounting bracket 006,Bracket,Mild Steel,IS 2062 E350,2.5,396,304,2.31,0,9,Painted,27.69,86.48,14.2,0.83,7.5,0.24,460,35,11,DragonSheet,China,418.07,7567
SM-1007,Access cover 007,Cover / panel,Galvanized Steel,GI G90,4.0,589,226,3.5,3,25,Zinc plated,30.62,96.33,27.9,1.29,7.5,0.48,460,24,10,DragonSheet,China,904.48,5132
SM-1008,Welded support 008,Fabricated assembly,Stainless Steel,SS304,1.2,893,128,1.11,2,22,Powder coated,26.29,152.68,19.7,0.67,7.5,0.34,460,27,13,DragonSheet,China,519.35,15937
SM-1009,Welded support 009,Fabricated assembly,Stainless Steel,SS304,3.0,131,197,0.59,8,26,Zinc plated,5.94,152.24,30.8,0.72,7.8,0.51,340,20,11,FabriMax,Vietnam,683.16,17003
SM-1010,Mounting bracket 010,Bracket,Mild Steel,IS 2062 E350,1.2,760,385,2.83,8,21,Powder coated,67.3,79.53,34.0,1.23,10.0,0.64,1900,35,9,PrecisionPanel,USA,2023.62,11221
SM-1011,Access cover 011,Cover / panel,Galvanized Steel,GI G90,1.2,491,394,1.51,3,20,Painted,44.49,88.42,21.7,0.78,8.5,0.38,390,35,10,SteelWorks,India,501.08,4807
SM-1012,Access cover 012,Cover / panel,Galvanized Steel,GI G90,1.6,391,620,3.16,6,8,Powder coated,55.76,95.93,26.6,1.18,10.0,0.45,1900,24,12,PrecisionPanel,USA,1637.57,17559
SM-1013,Access cover 013,Cover / panel,Galvanized Steel,GI G90,1.6,350,145,0.55,9,19,Powder coated,11.67,94.44,30.1,0.69,8.5,0.45,390,20,10,SteelWorks,India,576.19,2808
SM-1014,Mounting bracket 014,Bracket,Mild Steel,IS 2062 E250,2.0,192,606,1.51,10,17,Powder coated,26.76,79.57,33.3,0.94,7.8,0.62,340,35,12,AsiaForm,Vietnam,759.78,8562
SM-1015,Access cover 015,Cover / panel,Galvanized Steel,GI G90,2.5,314,176,0.85,6,13,Passivated,12.71,92.32,23.2,0.65,7.8,0.45,340,20,9,AsiaForm,Vietnam,433.64,13793
SM-1016,Control plate 016,Mounting plate,CRCA Steel,CRCA IS 513,5.0,231,334,2.46,8,16,Powder coated,17.75,86.42,31.4,1.11,7.8,0.52,340,20,12,AsiaForm,Vietnam,696.66,3808
SM-1017,Mounting bracket 017,Bracket,Mild Steel,IS 2062 E250,3.0,135,175,0.59,3,7,Passivated,5.43,79.02,15.1,0.48,8.5,0.24,390,20,10,BendCraft,India,264.57,13018
SM-1018,Mounting bracket 018,Bracket,Mild Steel,IS 2062 E250,2.0,922,545,6.66,8,23,Passivated,115.57,75.67,43.1,2.16,7.5,0.71,460,35,9,DragonSheet,China,1870.4,10876
SM-1019,Mounting bracket 019,Bracket,Mild Steel,IS 2062 E250,3.0,608,594,8.96,8,7,Painted,83.06,83.84,42.6,2.61,8.5,0.66,390,35,9,SteelWorks,India,1452.99,8307
SM-1020,Access cover 020,Cover / panel,Galvanized Steel,GI G90,3.0,372,120,1.0,6,23,Zinc plated,10.27,98.58,27.1,0.75,8.5,0.43,390,22,11,SteelWorks,India,583.7,13569
SM-1021,Mounting bracket 021,Bracket,Mild Steel,IS 2062 E350,4.0,427,548,6.28,1,2,Passivated,53.82,84.52,22.3,1.76,8.5,0.4,390,35,10,BendCraft,India,875.93,17176
SM-1022,Control plate 022,Mounting plate,CRCA Steel,CRCA IS 513,2.0,190,330,0.86,2,16,Zinc plated,14.42,88.54,17.1,0.57,8.5,0.34,390,20,13,PlatePro,India,391.92,10410
SM-1023,Mounting bracket 023,Bracket,Mild Steel,IS 2062 E250,2.0,238,189,0.7,2,10,Zinc plated,10.35,80.23,14.6,0.5,8.5,0.27,390,24,13,PlatePro,India,277.6,16608
SM-1024,Control plate 024,Mounting plate,CRCA Steel,CRCA IS 513,1.2,214,513,1.06,0,2,Zinc plated,25.25,90.32,9.0,0.49,7.8,0.16,340,27,13,AsiaForm,Vietnam,214.88,14614
SM-1025,Welded support 025,Fabricated assembly,Stainless Steel,SS304,1.2,197,232,0.4,5,20,Powder coated,10.51,145.85,22.9,0.56,8.5,0.35,390,20,11,SteelWorks,India,426.3,7483
SM-1026,Mounting bracket 026,Bracket,Mild Steel,IS 2062 E350,1.2,482,496,2.41,2,9,Powder coated,54.99,88.31,18.1,0.9,8.5,0.34,390,20,10,BendCraft,India,611.46,11485
SM-1027,Access cover 027,Cover / panel,Galvanized Steel,GI G90,4.0,872,334,7.66,1,14,Painted,66.99,97.67,29.6,2.17,7.8,0.48,340,24,10,AsiaForm,Vietnam,1651.22,7904
SM-1028,Mounting bracket 028,Bracket,Mild Steel,IS 2062 E250,1.6,528,416,2.32,1,26,Zinc plated,50.52,77.66,22.0,0.96,8.5,0.39,390,35,11,BendCraft,India,621.19,1504
SM-1029,Mounting bracket 029,Bracket,Mild Steel,IS 2062 E250,1.6,714,351,2.4,9,15,Zinc plated,57.64,81.49,32.7,1.11,7.8,0.54,340,35,9,FabriMax,Vietnam,796.07,13222
SM-1030,Welded support 030,Fabricated assembly,Stainless Steel,SS304,2.0,165,526,1.02,8,23,Powder coated,19.96,144.62,30.7,0.8,8.5,0.47,390,24,13,PlatePro,India,712.53,10886
SM-1031,Mounting bracket 031,Bracket,Mild Steel,IS 2062 E250,2.0,639,396,3.85,5,14,Zinc plated,58.2,79.72,28.4,1.35,8.5,0.45,390,27,10,BendCraft,India,854.19,10461
SM-1032,Access cover 032,Cover / panel,Galvanized Steel,GI G90,5.0,120,391,1.56,6,27,Zinc plated,10.79,92.96,29.7,0.91,10.0,0.51,1900,27,10,PrecisionPanel,USA,1467.44,3378
SM-1033,Control plate 033,Mounting plate,CRCA Steel,CRCA IS 513,4.0,768,423,7.96,3,23,Zinc plated,74.72,84.21,37.0,2.34,10.0,0.59,1900,22,12,PrecisionPanel,USA,2179.61,2986
SM-1034,Access cover 034,Cover / panel,Galvanized Steel,GI G90,4.0,709,279,6.13,6,17,Passivated,45.5,90.32,36.2,1.94,7.5,0.66,460,20,12,DragonSheet,China,1185.73,7770
SM-1035,Mounting bracket 035,Bracket,Mild Steel,IS 2062 E350,4.0,650,555,8.68,3,5,Passivated,82.97,79.32,32.3,2.41,7.8,0.56,340,35,13,AsiaForm,Vietnam,1282.39,10997
SM-1036,Access cover 036,Cover / panel,Galvanized Steel,GI G90,5.0,856,596,17.84,8,16,Powder coated,117.34,96.29,65.2,4.8,10.0,1.13,1900,24,13,PrecisionPanel,USA,5692.54,16479
SM-1037,Mounting bracket 037,Bracket,Mild Steel,IS 2062 E350,2.5,199,372,1.2,5,12,Painted,17.03,79.38,21.8,0.71,7.8,0.35,340,22,9,FabriMax,Vietnam,453.21,14194
SM-1038,Access cover 038,Cover / panel,Galvanized Steel,GI G90,3.0,597,505,5.47,6,14,Painted,69.34,97.65,33.7,1.77,7.8,0.64,340,20,11,FabriMax,Vietnam,1166.17,10384
SM-1039,Access cover 039,Cover / panel,Galvanized Steel,GI G90,5.0,549,305,5.99,4,15,Passivated,38.51,87.75,31.6,1.85,7.8,0.53,340,27,10,AsiaForm,Vietnam,1104.9,15915
SM-1040,Mounting bracket 040,Bracket,Mild Steel,IS 2062 E350,3.0,147,483,1.58,10,2,Painted,16.33,84.75,28.2,0.86,10.0,0.44,1900,20,11,PrecisionPanel,USA,1351.99,13022
SM-1041,Control plate 041,Mounting plate,CRCA Steel,CRCA IS 513,2.5,454,425,3.79,6,10,Passivated,44.38,84.52,28.6,1.34,8.5,0.44,390,35,9,PlatePro,India,753.18,12067
